epoch,step,train_loss_step,train_acc_step,train_auc,train_f1,train_specificity,train_kappa,train_precision,train_acc_epoch,train_sensitivity,train_acc,train_loss_epoch,test_specificity,test_kappa,test_acc,test_precision,test_loss,test_f1,test_auc,test_sensitivity
8,559,0.6284996867179871,0.640625,,,,,,,,,,,,,,,,,
8,569,0.5400490760803223,0.703125,,,,,,,,,,,,,,,,,
8,579,0.47979986667633057,0.78125,,,,,,,,,,,,,,,,,
8,589,0.6405789852142334,0.640625,,,,,,,,,,,,,,,,,
8,599,0.6101524233818054,0.65625,,,,,,,,,,,,,,,,,
8,609,0.5183395147323608,0.734375,,,,,,,,,,,,,,,,,
8,611,,,0.7835892241868918,0.6948775055679287,0.7769016697552092,0.42810760667903525,0.7448275862068966,0.7140538096427917,0.6512059369202227,0.7140538096427917,0.5590659976005554,,,,,,,,
9,619,0.5801035165786743,0.71875,,,,,,,,,,,,,,,,,
9,629,0.5729723572731018,0.75,,,,,,,,,,,,,,,,,
9,639,0.5486109256744385,0.671875,,,,,,,,,,,,,,,,,
9,649,0.5468863844871521,0.71875,,,,,,,,,,,,,,,,,
9,659,0.61138516664505,0.734375,,,,,,,,,,,,,,,,,
9,669,0.5712608098983765,0.734375,,,,,,,,,,,,,,,,,
9,679,0.4179990291595459,0.875,,,,,,,,,,,,,,,,,
9,679,,,0.7956746242096097,0.7141807494489346,0.7824675324639032,0.45871985157699446,0.7566165023352361,0.7293599247932434,0.6762523191094619,0.7293599247932434,0.5477181077003479,,,,,,,,
10,689,0.6712275147438049,0.65625,,,,,,,,,,,,,,,,,
10,699,0.5349071621894836,0.75,,,,,,,,,,,,,,,,,
10,709,0.5842516422271729,0.734375,,,,,,,,,,,,,,,,,
10,719,0.6271533370018005,0.65625,,,,,,,,,,,,,,,,,
10,729,0.4535002112388611,0.828125,,,,,,,,,,,,,,,,,
10,739,0.5587064027786255,0.734375,,,,,,,,,,,,,,,,,
10,747,,,0.8057147762123908,0.7224390243902439,0.7852504638182503,0.4721706864564007,0.7618312757201646,0.7360853552818298,0.6869202226345084,0.7360853552818298,0.5380136966705322,,,,,,,,
11,749,0.38529759645462036,0.828125,,,,,,,,,,,,,,,,,
11,759,0.5411176681518555,0.734375,,,,,,,,,,,,,,,,,
11,769,0.4517058730125427,0.8125,,,,,,,,,,,,,,,,,
11,779,0.5331245064735413,0.734375,,,,,,,,,,,,,,,,,
11,789,0.5229049921035767,0.6875,,,,,,,,,,,,,,,,,
11,799,0.46044182777404785,0.78125,,,,,,,,,,,,,,,,,
11,809,0.45538920164108276,0.78125,,,,,,,,,,,,,,,,,
11,815,,,0.8163292197465931,0.7316602316602316,0.7810760667867297,0.4842300556586271,0.7625754527162978,0.7421150207519531,0.7031539888682746,0.7421150207519531,0.5258747339248657,,,,,,,,
12,819,0.5470935702323914,0.6875,,,,,,,,,,,,,,,,,
12,829,0.5045816898345947,0.71875,,,,,,,,,,,,,,,,,
12,839,0.5339917540550232,0.78125,,,,,,,,,,,,,,,,,
12,849,0.467230886220932,0.828125,,,,,,,,,,,,,,,,,
12,859,0.5437774062156677,0.703125,,,,,,,,,,,,,,,,,
12,869,0.4975542426109314,0.8125,,,,,,,,,,,,,,,,,
12,879,0.5433566570281982,0.734375,,,,,,,,,,,,,,,,,
12,883,,,0.8328797660065881,0.7535680304471931,0.7847866419258591,0.5194805194805194,0.7734375,0.7597402334213257,0.7346938775510204,0.7597402334213257,0.5064788460731506,,,,,,,,
13,889,0.5411396026611328,0.71875,,,,,,,,,,,,,,,,,
13,899,0.6194289922714233,0.671875,,,,,,,,,,,,,,,,,
13,909,0.5066481828689575,0.78125,,,,,,,,,,,,,,,,,
